out:sDA,out:ID,Link_E1a
0.412698,E1a-0.8-S-0.2-0_O-0.2-5123-Yes,https://i.postimg.cc/qqCd2kCr/E1a-0-8-S-0-2-0-O-0-2-5123-Yes-daylight.png
0.325397,E1a-0.6-S-0.2-0_O-0.2-5123-Yes,https://i.postimg.cc/rpQckZkc/E1a-0-6-S-0-2-0-O-0-2-5123-Yes-daylight.png
0.753968,E1a-1.4-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/jSTLq1GP/E1a-1-4-S-0-4-0-O-0-4-6028-No-daylight.png
0.666667,E1a-1.2-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/xjkk6MvG/E1a-1-2-S-0-4-0-O-0-4-6028-No-daylight.png
0.595238,E1a-1.0-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/XvHJ8YXB/E1a-1-S-0-4-0-O-0-4-6028-No-daylight.png
0.492063,E1a-0.8-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/FzJQ09Jf/E1a-0-8-S-0-4-0-O-0-4-6028-No-daylight.png
0.357143,E1a-0.6-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/qRqrMcJq/E1a-0-6-S-0-4-0-O-0-4-6028-No-daylight.png
0.642857,E1a-1.4-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/qvrzBF9n/E1a-1-4-S-0-4-0-O-0-4-5123-No-daylight.png
0.587302,E1a-1.2-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/L4qqxLtt/E1a-1-2-S-0-4-0-O-0-4-5123-No-daylight.png
0.492063,E1a-1.0-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/Zq7Rc50C/E1a-1-S-0-4-0-O-0-4-5123-No-daylight.png
0.396826,E1a-0.8-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/90qjyWqr/E1a-0-8-S-0-4-0-O-0-4-5123-No-daylight.png
0.269841,E1a-0.6-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/R0X9BpBH/E1a-0-6-S-0-4-0-O-0-4-5123-No-daylight.png
0.452381,E1a-1.4-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/htnf4YH8/E1a-1-4-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.484127,E1a-1.2-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/J7yypZNc/E1a-1-2-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.603175,E1a-1.0-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/SKTsrxjz/E1a-1-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.404762,E1a-0.8-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/T1WXnRWK/E1a-0-8-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.36508,E1a-0.6-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/Tw1xYjdw/E1a-0-6-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.460318,E1a-1.4-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/Vkwdsh3j/E1a-1-4-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.444444,E1a-1.2-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/CMZZckGj/E1a-1-2-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.492063,E1a-1.0-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/Gp72Qm94/E1a-1-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.380953,E1a-0.8-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/wMsdD6s3/E1a-0-8-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.269841,E1a-0.6-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/VND18Z8b/E1a-0-6-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.698413,E1a-1.4-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/Hktjr2g4/E1a-1-4-S-0-6-0-O-0-6-6028-No-daylight.png
0.619048,E1a-1.2-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/bYKZWrgT/E1a-1-2-S-0-6-0-O-0-6-6028-No-daylight.png
0.547619,E1a-1.0-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/wBfvVj32/E1a-1-S-0-6-0-O-0-6-6028-No-daylight.png
0.436508,E1a-0.8-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/z3ZYj9nL/E1a-0-8-S-0-6-0-O-0-6-6028-No-daylight.png
0.301588,E1a-0.6-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/LX5S6k9z/E1a-0-6-S-0-6-0-O-0-6-6028-No-daylight.png
0.611111,E1a-1.4-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/7Z4fPRpB/E1a-1-4-S-0-6-0-O-0-6-5123-No-daylight.png
0.539683,E1a-1.2-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/Y2JvZ0RN/E1a-1-2-S-0-6-0-O-0-6-5123-No-daylight.png
0.444444,E1a-1.0-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/Jh6nqztQ/E1a-1-S-0-6-0-O-0-6-5123-No-daylight.png
0.357143,E1a-0.8-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/x8bSL0bG/E1a-0-8-S-0-6-0-O-0-6-5123-No-daylight.png
