out:sDA,out:ID,Link_E1c
0.412698,E1c-0.8-S-0.2-0_O-0.2-5123-Yes,https://i.postimg.cc/525QwJwq/E1c-0-8-S-0-2-0-O-0-2-5123-Yes-daylight.png
0.325397,E1c-0.6-S-0.2-0_O-0.2-5123-Yes,https://i.postimg.cc/PfcDH2X8/E1c-0-6-S-0-2-0-O-0-2-5123-Yes-daylight.png
0.753968,E1c-1.4-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/w383m436/E1c-1-4-S-0-4-0-O-0-4-6028-No-daylight.png
0.666667,E1c-1.2-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/76R5xZyd/E1c-1-2-S-0-4-0-O-0-4-6028-No-daylight.png
0.595238,E1c-1.0-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/65nf1DrG/E1c-1-S-0-4-0-O-0-4-6028-No-daylight.png
0.492063,E1c-0.8-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/130VpSp2/E1c-0-8-S-0-4-0-O-0-4-6028-No-daylight.png
0.357143,E1c-0.6-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/xj7mQtfF/E1c-0-6-S-0-4-0-O-0-4-6028-No-daylight.png
0.642857,E1c-1.4-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/w383m43g/E1c-1-4-S-0-4-0-O-0-4-5123-No-daylight.png
0.587302,E1c-1.2-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/V6vSQb3Y/E1c-1-2-S-0-4-0-O-0-4-5123-No-daylight.png
0.492063,E1c-1.0-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/65nf1Drv/E1c-1-S-0-4-0-O-0-4-5123-No-daylight.png
0.396826,E1c-0.8-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/ht8Q9n93/E1c-0-8-S-0-4-0-O-0-4-5123-No-daylight.png
0.269841,E1c-0.6-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/59GzJn4n/E1c-0-6-S-0-4-0-O-0-4-5123-No-daylight.png
0.452381,E1c-1.4-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/3W5WvfWJ/E1c-1-4-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.484127,E1c-1.2-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/JnFs1zLw/E1c-1-2-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.603175,E1c-1.0-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/SNCftw6c/E1c-1-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.404762,E1c-0.8-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/525QwJwG/E1c-0-8-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.36508,E1c-0.6-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/XNh5WQjm/E1c-0-6-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.460318,E1c-1.4-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/jC0C73Cx/E1c-1-4-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.444444,E1c-1.2-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/TwsKR3XB/E1c-1-2-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.492063,E1c-1.0-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/KvBDsdPL/E1c-1-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.380953,E1c-0.8-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/fR7SxsxP/E1c-0-8-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.269841,E1c-0.6-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/NGVXtpsz/E1c-0-6-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.698413,E1c-1.4-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/tR15F17t/E1c-1-4-S-0-6-0-O-0-6-6028-No-daylight.png
0.619048,E1c-1.2-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/NMnKgjcK/E1c-1-2-S-0-6-0-O-0-6-6028-No-daylight.png
0.547619,E1c-1.0-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/bwP9X3g0/E1c-1-S-0-6-0-O-0-6-6028-No-daylight.png
0.436508,E1c-0.8-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/xd0J5ZRB/E1c-0-8-S-0-6-0-O-0-6-6028-No-daylight.png
