out:sDA,out:ID,Link_E1b
0.412698,E1b-0.8-S-0.2-0_O-0.2-5123-Yes,https://i.postimg.cc/3r9LZMFV/E1b-0-8-S-0-2-0-O-0-2-5123-Yes-daylight.png
0.325397,E1b-0.6-S-0.2-0_O-0.2-5123-Yes,https://i.postimg.cc/d1j5XgPr/E1b-0-6-S-0-2-0-O-0-2-5123-Yes-daylight.png
0.753968,E1b-1.4-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/j5tXzvw6/E1b-1-4-S-0-4-0-O-0-4-6028-No-daylight.png
0.666667,E1b-1.2-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/wjR0H1Yv/E1b-1-2-S-0-4-0-O-0-4-6028-No-daylight.png
0.595238,E1b-1.0-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/GtSxnCMx/E1b-1-S-0-4-0-O-0-4-6028-No-daylight.png
0.492063,E1b-0.8-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/66zHhshQ/E1b-0-8-S-0-4-0-O-0-4-6028-No-daylight.png
0.357143,E1b-0.6-S-0.4-0_O-0.4-6028-No,https://i.postimg.cc/rmNfb7XP/E1b-0-6-S-0-4-0-O-0-4-6028-No-daylight.png
0.642857,E1b-1.4-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/RF4RcG6c/E1b-1-4-S-0-4-0-O-0-4-5123-No-daylight.png
0.587302,E1b-1.2-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/bwS38ZfY/E1b-1-2-S-0-4-0-O-0-4-5123-No-daylight.png
0.492063,E1b-1.0-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/4yFQRg8v/E1b-1-S-0-4-0-O-0-4-5123-No-daylight.png
0.396826,E1b-0.8-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/FFGPxtxF/E1b-0-8-S-0-4-0-O-0-4-5123-No-daylight.png
0.269841,E1b-0.6-S-0.4-0_O-0.4-5123-No,https://i.postimg.cc/TwJtSBMN/E1b-0-6-S-0-4-0-O-0-4-5123-No-daylight.png
0.452381,E1b-1.4-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/76wVgXGM/E1b-1-4-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.484127,E1b-1.2-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/QdK0sFZV/E1b-1-2-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.603175,E1b-1.0-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/J0d5CLTQ/E1b-1-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.404762,E1b-0.8-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/sfKnJFJX/E1b-0-8-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.36508,E1b-0.6-S-0.4-0_O-0.4-6028-Yes,https://i.postimg.cc/tTNBf8Qm/E1b-0-6-S-0-4-0-O-0-4-6028-Yes-daylight.png
0.460318,E1b-1.4-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/Twf9rQLV/E1b-1-4-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.444444,E1b-1.2-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/P5v2hCn5/E1b-1-2-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.492063,E1b-1.0-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/7hQnrkBM/E1b-1-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.380953,E1b-0.8-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/fW5Hv4vT/E1b-0-8-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.269841,E1b-0.6-S-0.4-0_O-0.4-5123-Yes,https://i.postimg.cc/NMkdVZqJ/E1b-0-6-S-0-4-0-O-0-4-5123-Yes-daylight.png
0.698413,E1b-1.4-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/3R1Z9pm1/E1b-1-4-S-0-6-0-O-0-6-6028-No-daylight.png
0.619048,E1b-1.2-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/k5rw577S/E1b-1-2-S-0-6-0-O-0-6-6028-No-daylight.png
0.547619,E1b-1.0-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/L4yT1tHF/E1b-1-S-0-6-0-O-0-6-6028-No-daylight.png
0.436508,E1b-0.8-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/J4np6TT0/E1b-0-8-S-0-6-0-O-0-6-6028-No-daylight.png
0.301588,E1b-0.6-S-0.6-0_O-0.6-6028-No,https://i.postimg.cc/Kjc0yQxd/E1b-0-6-S-0-6-0-O-0-6-6028-No-daylight.png
0.611111,E1b-1.4-S-0.6-0_O-0.6-5123-No,https://i.postimg.cc/Hxzt35Xw/E1b-1-4-S-0-6-0-O-0-6-5123-No-daylight.png
